
n-i-bz  = not in bugzilla
pending = is scheduled to be fixed (or at least considered) on this branch
wontfix = will not fix on this branch


TRUNK    31BRANCH   BUG#     WHAT

v5262     pending   n-i-bz   fsub 3,3,3 in ppc32 dispatcher doesn't clear NaNs
v5270     pending   n-i-bz   ppc32: __NR_setpriority (97)
pending   pending   117332   missing line info with icc 8.1 (x86)
pending   pending   117362   partially defined equality
pending   pending   117366   amd64: 0xDD 0x7C fnstsw
pending   pending   117367   amd64: 0xD9 0xF4 fxtract
v5256       v5260   117369   amd64: __NR_getpriority (140)
vx1482    pending   117419   ppc32: lfsu f5, -4(r11)
vx1492    pending   117419   ppc32: fsqrt
pending   wontfix   n-i-bz   ppc32: jm-insns doesn't do FP tests
pending   wontfix   117564   __NR_clone param test (w/ partial patch)
pending   pending   117936   yet another stabs-reader segfault
pending   pending   118118   SIGBUS in disInstr_AMD64 after long run
pending   pending   118239   amd64: 0xF 0xAE 0x3F (clflush)
pending   pending   118274   amd64: 0xDD #7 (fnsave)
pending   pending   118466   add %r,%r mishandled by memcheck
pending   pending   n-i-bz   VALGRIND_COUNT_LEAKS arg types (Olly Betts)
pending   pending   n-i-bz   memcheck/tests/mempool reads freed memory
v5366/7   pending   n-i-bz   AshleyP's custom-allocator assertion
vx1501    pending   n-i-bz   Dirk strict-aliasing stuff
v5368     pending   n-i-bz   More space for debugger cmd line (Dan Thaler)
